geonameid,lat,lon,country_code,name_en,name_zh,population,is_city
3038832,42.53176,1.56654,AD,Vila,,1418,0
3038999,42.57688,1.66769,AD,Soldeu,,602,0
3039077,42.53368,1.51613,AD,Sispony,,833,0
3039154,42.57952,1.65362,AD,El Tarter,,1003,0
3039163,42.46372,1.49129,AD,Sant Julià de Lòria,圣胡利娅-德洛里亚,8022,1
3039181,42.49454,1.49897,AD,Santa Coloma,,3236,0
3039604,42.54277,1.73361,AD,Pas de la Casa,,2996,0
3039678,42.55623,1.53319,AD,Ordino,奥尔迪诺,3066,1
3040051,42.50729,1.53414,AD,les Escaldes,萊塞斯卡尔德-恩戈尔达,15853,1
3040067,42.53873,1.58649,AD,Les Bons,,1171,0
3040132,42.54499,1.51483,AD,la Massana,马萨纳,7211,1
3040141,42.54391,1.52289,AD,l'Aldosa,,594,0
3040154,42.57423,1.51845,AD,La Cortinada,,931,0
3040609,42.56218,1.4968,AD,Erts,,556,0
3040686,42.53474,1.58014,AD,Encamp,恩坎普,11223,1
3041204,42.5676,1.59756,AD,Canillo,卡尼略,3292,1
3041519,42.57205,1.48453,AD,Arinsal,,1419,0
3041543,42.53465,1.5251,AD,Anyós,,1006,0
3041563,42.50779,1.52109,AD,Andorra la Vella,安道尔城,20430,1
3041604,42.46245,1.50209,AD,Aixirivall,,1041,0
290503,25.16744,55.40708,AE,Warīsān,,108759,0
290581,25.15491,55.21015,AE,Umm Suqaym,,16459,0
290594,25.56473,55.55517,AE,Umm Al Quwain City,,59098,1
290680,25.0695,56.33115,AE,Ţarīf Kalbā,,51000,0
291061,25.22499,55.38947,AE,Ar Rāshidīyah,,38425,0
291074,25.78953,55.9432,AE,Ras Al Khaimah,,351943,1
291279,23.14355,53.7881,AE,Muzayri‘,,10000,0
291339,25.27623,56.36256,AE,Murbaḩ,,2000,0
291489,24.81089,56.10657,AE,Maşfūţ,,8988,0
291580,23.65416,53.70522,AE,Zayed City,,63482,0
291696,25.33132,56.34199,AE,Khawr Fakkān,,40677,0
291763,25.0513,56.35422,AE,Kalbā,,37545,0
291775,25.20795,55.24969,AE,Jumayrā,,39080,0
291794,25.7091,55.80772,AE,Al Jazīrah al Ḩamrā’,,10190,0
292223,25.07725,55.30927,AE,Dubai,杜拜,3790000,1
292231,25.59246,56.26176,AE,Dibba Al-Fujairah,,30000,0
292239,25.61955,56.27291,AE,Dibba Al-Hisn,,26395,0
292261,25.27143,55.30207,AE,Dayrah,,400000,0
292672,25.3342,55.41221,AE,Sharjah,夏尔迦,1800000,1
292674,26.0279,56.08352,AE,Ash Sha‘m,,1550,0
292688,24.11028,52.73056,AE,Ar Ruways,魯瓦斯,25000,0
292692,25.87658,56.01862,AE,Ar Rams,,13000,0
292799,25.3299,56.02188,AE,Al Manāmah,,5823,0
292856,25.47819,55.53377,AE,Al Ḩamrīyah,,3297,0
292862,24.80073,56.12726,AE,Ḩattā,,15324,0
292878,25.11641,56.34141,AE,Fujairah,富吉拉,118933,1
292913,24.19167,55.76056,AE,Al Ain City,艾因,846747,0
292932,25.40177,55.47878,AE,Ajman,,490035,1
292953,25.28812,55.88157,AE,Adh Dhayd,达伊德,20165,0
292968,24.45118,54.39696,AE,Abu Dhabi,阿布扎比,1807000,1
292991,25.28413,55.33153,AE,Abū Hayl,,18043,0
385024,25.22192,55.27459,AE,As Saţwah,,40997,0
394142,24.89952,55.62545,AE,Margham,,1280,0
400747,25.86698,55.02363,AE,Abū Mūsá,,4213,0
412567,25.20131,55.38388,AE,Nadd al Ḩumr,,13589,0
412981,24.93138,55.47531,AE,Al Lusaylī,,2514,0
413256,24.46235,55.33715,AE,Suwayḩān,,5403,0
414901,25.40001,55.52925,AE,Al Ḩamīdīyah,,27000,0
6691079,25.29173,55.33822,AE,Al Waheda,,21608,0
6691083,25.27148,55.36165,AE,Al Twar First,,12114,0
6691085,25.26309,55.38028,AE,AL Twar Second,,5068,0
6691086,25.27148,55.38603,AE,Al Qusais Second,,12851,0
6691091,25.24004,55.30106,AE,Al Karama,,75560,0
6691093,25.24151,55.27805,AE,Al Hudaiba,,7699,0
6691096,25.19881,55.25565,AE,Al Wasl,,22153,0
6691109,25.10223,55.16433,AE,Knowledge Village,,15000,0
6691113,25.11607,55.13506,AE,The Palm Jumeirah,,25500,0
6691114,25.22536,55.305,AE,Za'abeel,,5283,0
6691115,25.23685,55.31419,AE,Oud Metha,,8321,0
7289825,25.26038,55.29891,AE,Bur Dubai,,18698,0
8057551,24.42588,54.605,AE,Khalifah A City,,85374,0
8057552,24.36727,54.63721,AE,Shakhbout City,,6515,0
8200824,25.22443,55.41412,AE,Mirdif,,60288,0
8201275,25.27744,55.33675,AE,Hawr al ‘Anz,,84661,0
8225407,25.24612,55.29222,AE,Mankhūl,,41244,0
8225949,25.261,55.33016,AE,Būr Sa‘īd,,11142,0
8226485,25.27139,55.30323,AE,Nāyf,,53075,0
8226590,25.27576,55.30738,AE,Al Murar al Qadīm,,19831,0
8226648,25.26797,55.31272,AE,Ar Riqqah,,8222,0
8469658,25.19272,55.42013,AE,Al Warqaa,,59111,0
8469668,25.16383,55.40987,AE,International City,,120000,0
8469788,25.08525,55.14646,AE,Dubai Marina,,120000,0
8469805,25.03878,55.21725,AE,Dubai Sports City,,15000,0
8469811,25.09538,55.16171,AE,Dubai Internet City,,24000,0
8469814,25.12015,55.18285,AE,Al Sufouh,,3337,0
8469819,25.17047,55.23336,AE,Al Safa,,15672,0
8475866,25.40338,55.4334,AE,Ar Rumaylah,,86000,0
8475913,25.40977,55.47106,AE,Mushayrif,,6539,0
8475923,25.41814,55.50791,AE,Al Jurf,,18000,0
8476509,25.32354,55.38774,AE,Al Majaz,,116503,0
8539023,25.23796,55.28678,AE,As Saţwah Sharq,,11619,0
8541937,25.22177,55.35733,AE,Dubai Festival City,,77000,0
8541977,25.2106,55.27787,AE,Dubai International Financial Centre,,36000,0
10172907,25.19408,55.2781,AE,Downtown Dubai,,13201,0
11048853,25.00827,55.15682,AE,Dubai Investments Park,,160000,0
11524601,25.00255,55.10811,AE,Jebel Ali,,210000,0
12042052,24.30978,54.62944,AE,Bani Yas City,,80498,0
12042053,24.35893,54.48267,AE,Musaffah,,243341,0
12047416,24.39268,54.70779,AE,Al Shamkhah City,,61710,0
12047417,25.14479,56.24764,AE,Reef Al Fujairah City,,82310,0
12470174,23.75355,55.32739,AE,Al Wiqan,,2000,0
12470175,23.8472,55.52719,AE,Al'Arad,,1000,0
12470177,23.86471,55.52341,AE,Al Araad,,1000,0
12748542,24.71242,55.67048,AE,Al Faqaa,,2291,0
12748680,24.58242,55.7467,AE,Sha'biyyat Al Hiyar,,7610,0
13117825,25.13518,55.8843,AE,Sha'biyyat Milе̄hah,,4768,0
13118419,25.13227,55.20567,AE,Umm Al Sheif,,6263,0
13118420,25.22462,55.26888,AE,Al Bada'a,,18816,0
13118421,25.27375,55.32265,AE,Al Muteena,,48739,0
13118422,25.24805,55.44128,AE,Al Mizhar First,,17498,0
13118423,25.24332,55.4619,AE,Al Mizhar Second,,11967,0
13118424,25.11985,55.38718,AE,Dubai Silicon Oasis,,90000,0
13118429,25.04593,55.24102,AE,Dubai Motor City,,8561,0
13118430,25.02924,55.25277,AE,DAMAC Hills,,8000,0
13118431,25.02651,55.14565,AE,Al Furjan,,26000,0
13118432,25.18544,55.26969,AE,Business Bay,,191000,0
13118433,25.27925,55.36995,AE,Al Qusais 1,,48378,0
13118434,25.25159,55.39408,AE,Al Twar 3,,11185,0
13118435,25.26628,55.33379,AE,Al Khabaisi,,6737,0
13118436,25.24882,55.48545,AE,Al Khawaneej 1,,12241,0
13118437,25.34586,55.42165,AE,Halwan,,19389,0
13118438,25.31532,55.63211,AE,Al Sajaah,,53079,0
13118439,25.03763,55.59135,AE,Lahbab,,53079,0
13118445,24.97355,55.77781,AE,Al Madam,,8652,0
13118446,25.55073,55.68619,AE,Al Raafah,,2704,0
13118447,24.34794,54.55368,AE,Mohammed Bin Zayed City,,85000,0
13118448,24.43208,54.61582,AE,Masdar City,,15000,0
1120471,33.54149,69.73446,AF,Zōr Kōṯ,,0,1
1120473,34.3436,67.90567,AF,Wulêswālī Bihsūd,,0,1
1120483,34.65389,61.19778,AF,Kuhsān,,12087,1
1120484,35.3782,64.77457,AF,Lāsh,,0,1
1120487,35.94831,66.42132,AF,Tukzār,,12021,1
1120497,34.24348,70.72855,AF,Bati,,0,1
1120500,33.32462,68.44068,AF,Mīray,,0,1
1120501,36.08352,66.84029,AF,Āq Kupruk,,0,1
1120543,33.43778,69.02774,AF,Zurmat,,0,1
1120616,36.52947,71.3441,AF,Zaybāk,,0,1
1120627,31.9848,65.4736,AF,Zīārat-e Shāh Maqşūd,,0,1
1120711,34.34264,61.74675,AF,Zindah Jān,,10418,1
1120863,32.84734,68.44573,AF,Zarghūn Shahr,,13737,0
1120879,33.14641,68.79213,AF,Zaṟah Sharan,,7366,0
1120985,30.95962,61.86037,AF,Zaranj,扎兰季,49851,1
1121045,32.3726,66.17708,AF,Zamtō Kêlay,,0,1
1121271,37.46572,69.61131,AF,Yangī Qal‘ah,,11100,0
1121381,34.73525,66.97379,AF,Bāzār-e Yakāwlang,,65000,0
1121418,32.93742,68.64622,AF,Yaḩyá Khēl,,0,1
1121855,32.25122,63.85553,AF,Wāshēr,,0,1
1122068,33.68847,68.40205,AF,Tōrmay,,0,1
1122189,33.97509,63.72868,AF,Tūlak,,0,1
1122402,33.69032,63.86361,AF,Tītān,,0,1
1122408,34.59431,61.26895,AF,Tīr Pul,,6979,0
1122464,33.52118,64.42116,AF,Taywarah,,0,1
1122705,36.88168,70.27674,AF,Bāzār-e Tashkān,,0,1
1122747,32.62998,65.87806,AF,Tarinkot,,10000,1
1123004,36.73605,69.53451,AF,Taloqan,塔卢坎,64256,1
1123343,35.69941,66.06164,AF,Tagāw-Bāy,,9096,0
1123424,34.85501,69.64917,AF,Tagāb,,6400,0
1123666,32.24139,62.94936,AF,Markaz-e Ḩukūmat-e Sulţān-e Bakwāh,,0,1
1123906,31.00575,66.40001,AF,Spīn Bōldak,,0,1
1123935,33.20204,69.5152,AF,Spērah,,0,1
1123963,36.09916,66.20823,AF,Sōzmah Qal‘ah,,0,1
1124621,35.00553,68.85578,AF,Siyāhgird,,0,1
1124973,34.57169,70.58859,AF,S̲h̲ēwah,,0,1
1125155,33.30294,62.1474,AF,Shīnḏanḏ,,29264,1
1125267,33.28744,69.91283,AF,Shaykh Amīr Kêlay,,0,1
1125362,35.03975,69.00685,AF,Qāshqāl,,0,1
1125444,36.66757,65.7529,AF,Shibirghān,,55641,1
1125497,33.42386,69.37684,AF,Shwāk,,0,1
1125866,31.80347,66.32376,AF,Shahr-e Şafā,,0,1
1125890,36.97984,70.73928,AF,Shahrān,,0,1
1125896,34.10737,64.3052,AF,Shahrak,,15967,1
1125962,32.52154,67.41315,AF,‘Alāqahdārī Shāh Jōy,,0,1
1126216,33.69056,69.36881,AF,Wulêswālī Sayyid Karam,,0,1
1126263,34.00037,68.71346,AF,Markaz-e Sayyidābād,,7301,1
1126266,36.13529,65.8297,AF,Şayād,,0,1
1126606,35.02298,69.35112,AF,Sidqābād,,7407,1
1126710,32.56521,67.03324,AF,Sāyagaz,,0,1
1126796,33.50998,65.67632,AF,Sar-e Tayghān,,0,1
1126884,34.58962,69.76005,AF,Sarōbī,,0,1
1126935,34.79023,71.10962,AF,Sar Kāṉī,,0,1
1127001,32.98333,67.96517,AF,Sarfirāz Kalā,,0,1
1127110,36.21544,65.93249,AF,Sar-e Pul,,52121,1
1127451,35.70177,65.23055,AF,Sar Chakān,,0,1
1127547,32.07275,64.8359,AF,Sangīn,,13579,1
1127604,33.1396,67.44046,AF,Sang-e Māshah,,0,1
1127628,35.84972,66.43694,AF,Sang-e Chārak,,15377,0
1127664,35.248,63.0044,AF,Sang Atesh,,0,1
1127667,34.40744,70.63937,AF,Sangar Sarāy,,0,1
1127768,36.26468,68.01551,AF,Aībak,,47823,1
1128186,35.31999,67.63387,AF,Rū-ye Sang,,0,1
1128239,30.15,62.6,AF,Rūdbār,,11034,0
1128265,37.12604,69.83045,AF,Rustāq,,25636,1
